latiude,longitude,候補1,候補2
44.714247,141.792503,道の駅えんべつ富士見,
35.230453,138.902946,神山西交差点,
35.230461,138.902924,神山西交差点,
35.230439,138.903003,神山西交差点,
35.230423,138.902855,裾野市運動公園野球場,
35.05439,137.164207,トヨタ町東交差点,
35.231285,138.902,裾野市運動公園野球場,
35.23127,138.902031,裾野市運動公園野球場,
35.231277,138.901985,裾野市運動公園野球場,
35.231216,138.901917,裾野市運動公園野球場,
35.231356,138.902094,裾野市運動公園野球場,
35.230436,138.902964,神山西交差点,
35.056244,137.160408,トヨタ町交差点,
35.056252,137.160423,トヨタ町交差点,
35.054329,137.163872,トヨタ町東交差点,
35.054375,137.164192,トヨタ町東交差点,
35.054336,137.164258,トヨタ町東交差点,
35.054361,137.164242,トヨタ町東交差点,
35.054398,137.164185,トヨタ町東交差点,
35.621834,139.777786,青海一丁目交差点,
35.462594,139.680706,ローソン大黒パーキングエリア店,
35.462636,139.680953,ローソン大黒パーキングエリア店,
36.233925,137.97776,イオンモール松本,
35.93665,138.216397,出光諏訪南インターSS,
35.968437,138.242233,上里交差点,
36.228127,138.132126,山本小屋ふる里館,
35.967148,137.814682,奈良井宿交差点,
36.153061,137.750549,道の駅風穴の里,
35.967194,137.814659,奈良井宿交差点,
36.39666,137.867447,道の駅安曇野松川,
36.348068,137.839882,安曇野しゃくなげの湯,
36.026314,138.078339,諏訪湖SA（上り）（中央自動車道）,
36.233948,137.977768,イオンモール松本,
35.985717,137.841706,道の駅木曽ならかわ,
36.110901,137.953598,中信会館エマーブルホール,
35.985708,137.841717,道の駅木曽ならかわ,
35.985692,137.841717,道の駅木曽ならかわ,
36.23391,137.977745,イオンモール松本,
35.985764,137.841789,道の駅木曽ならかわ,
35.986275,137.841484,道の駅木曽ならかわ,
35.985694,137.841744,道の駅木曽ならかわ,
35.985779,137.84169,道の駅木曽ならかわ,
35.985771,137.841736,道の駅木曽ならかわ,
36.233917,137.977776,イオンモール松本,
35.986282,137.841507,道の駅木曽ならかわ,
36.397324,137.884796,ローソン北安曇池田店,
36.233971,137.977737,イオンモール松本,
35.646072,138.714516,釈迦堂PA,
35.433075,139.400253,エネオス東名高速道路（上り）海老名サービスエリアSS,
35.703926,139.748611,後楽ガーデンホテル,
35.662178,139.698875,ホワイトシネクイント,
35.672622,139.691475,代々木公園サイクリングコース,
35.433029,139.400032,成城石井海老名SA上り店,
35.704079,139.748543,後楽ガーデンホテル,
35.433075,139.400276,エネオス東名高速道路（上り）海老名サービスエリアSS,
35.704048,139.748627,後楽ガーデンホテル,
35.711304,139.72599,文京区立関口台町小学校,
35.70401,139.748772,後楽ガーデンホテル,
35.130577,138.512611,清水PA,
35.295692,138.920143,ファミリーマート御殿場川島田南店,
35.152189,138.812839,駿河湾沼津SA,
35.367744,138.918297,富士モータースポーツミュージアム,
34.925323,137.513062,長篠設楽原PA（下り）（新東名高速道路）,
35.179932,137.023392,ファミリーマート名東照が丘店,
35.15641,138.678635,青島交差点,
35.433014,139.400017,成城石井海老名SA上り店,
35.704071,139.748734,後楽ガーデンホテル,
35.704018,139.748749,後楽ガーデンホテル,
30.321213,130.654968,熊毛支庁保健福祉環境部屋久島事務所,
36.654053,137.847145,道の駅白馬,
36.396637,137.867523,道の駅安曇野松川,
36.026299,138.078331,諏訪湖SA（上り）（中央自動車道）,
36.025856,138.077309,諏訪湖SA,
35.712967,137.908783,駒ヶ岳SA（下り）（中央自動車道）,
35.100689,138.849028,エネオスニユー沼津SS,
35.033157,137.222054,岡崎SA（上り）（新東名高速道路）,
35.432976,139.399963,成城石井海老名SA上り店,
36.757545,140.691597,中郷SA,
37.4961,141.000686,道の駅なみえ,
37.496103,141.000703,道の駅なみえ,
37.115921,140.911209,四倉PA（上り）（常磐自動車道）,
35.940086,139.96991,守谷SA,
35.152214,138.812813,駿河湾沼津SA,
34.840309,137.749832,浜松SA,
35.030602,137.135086,豊田上郷SA（下り）（東名高速道路）,
34.977837,135.949707,草津PA,
34.815453,134.97966,エネオス三木サービスエリア下りSS,
34.692741,133.874062,吉備SA,
34.42968,132.837646,小谷SA,
34.376997,132.504172,府中町青崎南交差点,
34.377014,132.504169,府中町青崎南交差点,
34.394158,132.497356,矢賀新町（北）交差点,
34.491974,133.314713,出光福山SA上りSS,
34.944427,135.720932,桂川PA,
35.322428,136.542808,養老SA,
35.626183,139.772652,台場駅（ゆりかもめ）,
36.153069,137.750572,道の駅風穴の里,
35.96714,137.814667,奈良井宿交差点,
36.104097,138.237058,白樺湖温泉すずらんの湯,
35.96843,138.24218,上里交差点,
35.646049,138.714462,釈迦堂PA,
35.644142,138.713852,釈迦堂PA（下り）（中央自動車道）,
36.233902,137.97776,イオンモール松本,
