,Unnamed: 0,候補1, 候補2,候補2
0,0.0,道の駅えんべつ富士見, 富士見ヶ丘公園,
1,1.0,神山西交差点, 裾野市運動公園野球場,
2,2.0,神山西交差点, 裾野市運動公園野球場,
3,3.0,神山西交差点, 裾野市運動公園野球場,
4,4.0,裾野市運動公園野球場, 神山西交差点,
5,5.0,トヨタ町東交差点, トヨタ町北東交差点,
6,6.0,裾野市運動公園野球場, 裾野市運動公園,
7,7.0,裾野市運動公園野球場, 裾野市運動公園,
8,8.0,裾野市運動公園野球場, 裾野市運動公園,
9,9.0,裾野市運動公園野球場, 裾野市運動公園,
10,10.0,裾野市運動公園野球場, 裾野市運動公園,
11,11.0,神山西交差点, 裾野市運動公園野球場,
12,12.0,トヨタ町交差点, トヨタ町北交差点,
13,13.0,トヨタ町交差点, トヨタ町北交差点,
14,14.0,トヨタ町東交差点, メグリアエムパーク店,
15,15.0,トヨタ町東交差点, トヨタ町北東交差点,
16,16.0,トヨタ町東交差点, トヨタ町北東交差点,
17,17.0,トヨタ町東交差点, トヨタ町北東交差点,
18,18.0,トヨタ町東交差点, トヨタ町北東交差点,
19,19.0,青海一丁目交差点, テレポート駅前交差点,
20,20.0,ローソン大黒パーキングエリア店, 大黒PA,
21,21.0,ローソン大黒パーキングエリア店, 大黒PA,
22,22.0,イオンモール松本, ハニーズディー.ストアイオンモール松本店,
23,23.0,出光諏訪南インターSS, 南インター入口交差点,
24,24.0,上里交差点, ,
25,25.0,山本小屋ふる里館, 牛伏山,
26,26.0,奈良井宿交差点, 奈良井駅（JR）,
27,27.0,道の駅風穴の里, 水殿ダム湖,
28,28.0,奈良井宿交差点, 奈良井駅（JR）,
29,29.0,道の駅安曇野松川, 細野駅（JR）,
30,30.0,安曇野しゃくなげの湯, 豊里交差点,
31,31.0,諏訪湖SA（上り）（中央自動車道）, 諏訪湖SA,
32,32.0,イオンモール松本, ハニーズディー.ストアイオンモール松本店,
33,33.0,道の駅木曽ならかわ, 平沢北交差点,
34,34.0,中信会館エマーブルホール, ショッピングセンターウイングロード,
35,35.0,道の駅木曽ならかわ, 平沢北交差点,
36,36.0,道の駅木曽ならかわ, 平沢北交差点,
37,37.0,イオンモール松本, ハニーズディー.ストアイオンモール松本店,
38,38.0,道の駅木曽ならかわ, 平沢北交差点,
39,39.0,道の駅木曽ならかわ, 平沢北交差点,
40,40.0,道の駅木曽ならかわ, 平沢北交差点,
41,41.0,道の駅木曽ならかわ, 平沢北交差点,
42,42.0,道の駅木曽ならかわ, 平沢北交差点,
43,43.0,イオンモール松本, ハニーズディー.ストアイオンモール松本店,
44,44.0,道の駅木曽ならかわ, 平沢北交差点,
45,45.0,ローソン北安曇池田店, 道の駅池田,
46,46.0,イオンモール松本, ハニーズディー.ストアイオンモール松本店,
47,47.0,釈迦堂PA, 釈迦堂PA（上り）（中央自動車道）,
48,48.0,エネオス東名高速道路（上り）海老名サービスエリアSS, 成城石井海老名SA上り店,
49,49.0,後楽ガーデンホテル, 小石川後楽園,
50,50.0,ホワイトシネクイント, PARCO劇場,
51,51.0,代々木公園サイクリングコース, 東京都立代々木公園,
52,52.0,成城石井海老名SA上り店, 海老名SA（上り）（東名高速道路）,
53,53.0,後楽ガーデンホテル, 小石川後楽園,
54,54.0,エネオス東名高速道路（上り）海老名サービスエリアSS, 成城石井海老名SA上り店,
55,55.0,後楽ガーデンホテル, 小石川後楽園,
56,56.0,文京区立関口台町小学校, ホテル椿山荘東京,
57,57.0,後楽ガーデンホテル, 小石川後楽園,
58,58.0,清水PA, 清水PA（下り）（新東名高速道路）,
59,59.0,ファミリーマート御殿場川島田南店, 杉名沢北交差点,
60,60.0,駿河湾沼津SA, NEOPASA駿河湾沼津（下り線）,
61,61.0,富士モータースポーツミュージアム, 富士スピードウェイホテル,
62,62.0,長篠設楽原PA（下り）（新東名高速道路）, 長篠設楽原PA,
63,63.0,ファミリーマート名東照が丘店, 照が丘交差点,
64,64.0,青島交差点, 錦町1丁目交差点,
65,65.0,成城石井海老名SA上り店, 海老名SA（上り）（東名高速道路）,
66,66.0,後楽ガーデンホテル, 小石川後楽園,
67,67.0,後楽ガーデンホテル, 小石川後楽園,
68,68.0,熊毛支庁保健福祉環境部屋久島事務所, 民宿松峯荘,
69,69.0,道の駅白馬, 久平荘,
70,70.0,道の駅安曇野松川, 細野駅（JR）,
71,71.0,諏訪湖SA（上り）（中央自動車道）, 諏訪湖SA,
72,72.0,諏訪湖SA, 諏訪湖SA（上り）（中央自動車道）,
73,73.0,駒ヶ岳SA（下り）（中央自動車道）, 駒ケ岳SA,
74,74.0,エネオスニユー沼津SS, DCMカーマ沼津店,
75,75.0,岡崎SA（上り）（新東名高速道路）, 岡崎SA,
76,76.0,成城石井海老名SA上り店, 海老名SA（上り）（東名高速道路）,
77,77.0,中郷SA, 中郷SA（下り）（常磐自動車道）,
78,78.0,道の駅なみえ, 無印良品道の駅なみえ店,
79,79.0,道の駅なみえ, 無印良品道の駅なみえ店,
80,80.0,四倉PA（上り）（常磐自動車道）, 四倉PA,
81,81.0,守谷SA, PASAR守谷（上り線）,
82,82.0,駿河湾沼津SA, NEOPASA駿河湾沼津（下り線）,
83,83.0,浜松SA, NEOPASA浜松（下り線）,
84,84.0,豊田上郷SA（下り）（東名高速道路）, 豊田上郷SA,
85,85.0,草津PA, 草津PA（下り）（名神高速道路）,
86,86.0,エネオス三木サービスエリア下りSS, 三木SA（下り）（山陽自動車道）,
87,87.0,吉備SA, 吉備SA（下り）（山陽自動車道）,
88,88.0,小谷SA, 小谷SA（下り）（山陽自動車道）,
